app_id,appInfo.appName,appInfo.publisher,appInfo.price
768160271,航旅纵横PRO-官方机票、值机火车票接送机免税酒店,China Travelsky Technology Limited,1.0
388624839,扫描全能王 - 官方出品1元畅用版，扫描PDF文件，文字识别,Linguan Data,1.0
866450515,Forest 专注森林 - 番茄钟学习计时器,"SEEKRTECH CO., LTD.",25.0
1600873673,炭炭背单词｜四六级考研等英语单词学习,燕萍 刘,1.0
1625289361,空气投篮,"Beijing No. 66 Interactive Tech Co., Ltd.",8.0
1164801111,AutoSleep - 通过手表自动追踪睡眠,Tantsissa,38.0
6443798663,敲木鱼 - 打节拍敲音效解压神器,兴龙 张,3.0
964708975,古诗文网,"Chongqing Dianshigu Technology Co., Ltd.",1.0
6499125531,完蛋！我被美女包围了！,"GUANGZHOU XIAOYOU CONTENT INTERACTIVE ENTERTAINMENT CO., LTD.",33.0
6447023668,爱韩剧 - 韩剧TV大全,Chen Yu,1.0
1261944766,Alook浏览器 - 8倍速,"Baoding Lehuo Network Technology Co., Ltd.",6.0
954724812,同花顺至尊版-股票软件,Zhejiang Hexin Flush Network Services Ltd,1.0
1439723850,时间规划局 - 倒计时与提醒事项,霞 王,3.0
6443916065,WiFi万能钥匙专业版-无线热点密码安全万能wi-fi管家,"Nanjing LinkWiFi Network Technology Co., Ltd.",3.0
1319191852,熊猫吃短信 - 垃圾短信过滤,"Early Moon, LLC",1.0
916366645,Procreate Pocket,Savage Interactive Pty Ltd,38.0
1217732174,TA - 一对一聊天，遇见对的人,奕鑫 史,1.0
373454750,随手记Pro–个人家庭生意记账,Kingdee,1.0
1660014964,飞越13号房,ALT Lab,14.0
519411018,iGuzheng - 爱古筝,"Supertintin Co., Ltd",6.0
1603553413,手表浏览器,恒一 杨,1.0
1661419573,atvTools,Oleksandr Hamlii,8.0
1578203914,电子宠物机,活鹏 麦,15.0
754105884,NightCap相机,Realtime Dreams Limited,22.0
1026740206,玩卡-交体面的朋友,祥驰 李,1.0
6479683928,AMood,恒一 杨,1.0
1459749978,List背单词,文华 肖,8.0
1492395549,爱美剧-人人美剧天堂社区,传英 朱,28.0
730712409,ProCam - 专业相机,Tinkerworks Apps,68.0
6451239549,全网短剧大全-热门短剧抢先看,学尚 黄,1.0
807317212,每日精选-天文地理人文美图、壁纸,Square Cosmos Press LLC.,6.0
1062745479,HeartWatch: 心脏和活动监测器,Tantsissa,38.0
1312534841,MyText Widget,Kais Karim,3.0
1197275827,金十数据专业版-为交易而生,"Guangzhou Jinshi Information and Technology Co., Ltd.",1.0
898876435,Planit巧摄专业版：风光摄影计划神器,"JIDE Software, Inc.",68.0
998437582,法语背单词 - 法语单词记忆工具,QianYan Network,1.0
1658579911,小特钥匙 - 手表隐私蓝牙钥匙,"Xiaote Technology (Guangzhou) Co., Ltd.",28.0
1210251567,SleepTown 睡眠小镇,"SEEKRTECH CO., LTD.",15.0
1586897675,我的大学：当大学校长,宣攀 史,1.0
961227503,烧杯 - BEAKER,THIX LLC,8.0
1476509317,每日英语 听力学习版,EUSOFT,1.0
530425820,东方财富领先版-财经资讯&股票开户,东方财富信息股份有限公司,1.0
1515211139,安规题库-星瀚,世华 陈,22.0
1633366918,Instant Lines,祥 汤,1.0
1064060287,XP3Player,聃 张,58.0
1152396902,凤凰新闻(专业版)-头条新闻阅读平台,Beijing TianyingJiuzhou Network Technology Co. Ltd,8.0
966489322,生辰 — 桌面时间小组件,"Ningbo If Technology Co.,Ltd",3.0
1459076631,隐形守护者,极光计划,18.0
373493387,AnkiMobile Flashcards,Ankitects Pty Ltd,168.0
998437590,西语背单词,QianYan Network,1.0
577628510,TeamSpeak 3,TeamSpeak Systems Inc,8.0
6446337236,新概念英语-新概念英语全四册单词听力口语,Shandong Yuanyuzhou Information Technology Co. LTD,1.0
6476032984,日剧TV - 韩剧TV大全日剧爱好者营地樱花日剧社,河北崇雨网络技术有限公司,1.0
1522215205,拒之-骚扰电话批量拦截助手,思语 明,8.0
